table,column,alias
project_course_config,Name,project_name
organization_user,RealName,user_name
organization_user,Gender,user_sex
organization_user,Birthday,user_dob
organization_user,IdCard,user_id_card
organization_user,StudentNumber,user_id_student
organization_user,Mobile,user_phone
base_organization,Name,organization_name
base_organization,Country,organization_country
base_organization,Province,organization_province
base_organization,City,organization_city
base_organization,District,organization_district
