game_id,game_name,game_type,game_name_sci_en,game_name_short,prep_fun_str
c26c3b9c-5582-4155-9f76-b31e47c07f2a,吹气球,1,BART,BART,bart
0972552f-ca53-4176-a772-23014be41d2e,图片记忆,1,Behavioral Pattern Separation,BPS,bps
f4e7115d-ba8a-474f-945d-fc88946000e8,图片记忆A,1,Behavioral Pattern Separation A,BPSA,bps
f1156275-3f17-40c2-bda6-22767878ddf2,图片记忆B,1,Behavioral Pattern Separation B,BPSB,bps
bcbdfb36-58a3-4df9-b31e-5f54295a1468,图片记忆C,1,Behavioral Pattern Separation C,BPSC,bps
b4dcbdfe-f835-438b-9448-bc570f384851,图片记忆D,1,Behavioral Pattern Separation D,BPSD,bps
2dfe4cb6-2fcc-4b44-a7f0-e42f74810872,察颜观色,1,Faces Reading,Faces,complexswitch
ebcab989-3390-446c-ac8f-f61132765f3e,候鸟迁徙,1,Birds Migration,Birds,complexswitch
1c188618-612a-468c-b0a0-76a4afcdbaa0,多彩文字,1,Color Stroop Paradigm,ColStrp,congeff
6ea55de0-0d70-4ae1-8ccf-00705d103b69,太空飞船,1,Flanker Test,Flkr,congeff
576196f9-1e6f-4db7-b0eb-025ca6c1404b,太空飞船2,1,Flanker Test,Flkr2,congeff
c89ae889-110f-4c57-b201-802374d2f624,词语判断,1,Lexic,Lexic,countcorrect
91e46642-f92f-437b-a4f2-fb14ebd4d310,词语判断（语言）,1,Lexic Lang,LexicLang,countcorrect
cd0b8686-e775-416e-8a58-31a44f37f239,符号判断,1,Symbol,Symbol,countcorrect
393fd0e8-baf9-4546-b0b1-c95065e46277,符号判断（语言）,1,Symbol Lang,SymbolLang,countcorrect
d5d29d3b-2a4c-4e1a-ab8e-b8fcc0fae48b,火眼金睛,1,Attention Search,AttSrc,countcorrect
b3886679-7004-4581-8cb4-bdd0b5ddc055,九五之集,1,Number Sets Test,NumSets,countcorrect
32b4ed17-52d5-464e-9009-1752f2b6731d,连点成画,1,Five Point Test,FPT,countcorrect
082ea578-9bea-4618-94ac-946b7c1daff6,拼音判断,1,Pinyin,Pinyin,countcorrect
aabe5da5-97c7-4904-8726-d172ead53672,拼音判断（语言）,1,Pinyin Lang,PinyinLang,countcorrect
44853d2f-87bb-4b66-8678-f95cd1bacd8e,人工语言,1,Associative Memory Language,AscLan,countcorrect
4b245057-1fc7-4b88-83e1-9cc8b0448c7a,人工语言-初级,1,Associative Memory Language Junior,AscLanJr,countcorrect
33cb1542-8736-444d-80b5-4bed6cdac1a5,人工语言-中级,1,Associative Memory Language Medium,AscLanMd,countcorrect
eecc6df6-a95d-4036-aca0-b1aa65b120db,声调判断,1,Tone,Tone,countcorrect
e7525c9b-3d5f-4e73-8d25-0ac45a904b53,声调判断（语言）,1,Tone Lang,ToneLang,countcorrect
8ad1567a-3dde-4680-957c-9420e5231421,速算师,1,Calculation,Calc,countcorrect
761ae897-4196-496e-b1bf-58c214acaebd,速算师（初级）,1,Calculation Junior,CalcJr,countcorrect
933d51d5-49de-454a-bb7b-a9481f7244f0,速算师（中级）,1,Calculation Medium,CalcMed,countcorrect
37726800-bf75-474b-8354-1a27457b4cf6,速算师（中级）（数学）,1,Calculation Medium Math,CalcMedMath,countcorrect
28ddff7c-396a-4bce-8b16-c3258cd637dc,专注大师,1,Calculation Speeded,CalcSpd,countcorrect
605d5346-5b07-4a9a-b28d-db522de05b02,语义判断,1,Semanteme,Seman,countcorrect
6b285fdf-7440-4952-b504-9830dde687f7,语义判断（语言）,1,Semanteme Lang,SemanLang,countcorrect
db0b4727-86f8-40c7-95dd-863197b95c03,字形判断,1,Orthography,Ortho,countcorrect
3923c44b-402f-465b-b585-5c06ef067d28,字形判断（语言）,1,Orthography Lang,OrthoLang,countcorrect
4b72d72d-b6f3-430f-b744-4209fe9508a2,阻挡陨石,1,Earth Protect,EP,countcorrect
ef44f5a5-5134-47da-9c6e-9f2f714f6cfc,捉虫,1,Continuous Performance Test,CPT,cpt
07b9b48e-2350-4c5f-9b6a-5e2c2c1b97c5,快速归类,1,Choice Reaction Time,CRT,crt
11dfc2d5-3c9a-4178-b73c-5f12668826c8,快速归类（思维）,1,Choice Reaction Time Thought,CRTThought,crt
6c84a085-e118-4089-9143-a65a24c74aa4,模拟驾驶,1,Driving,Driving,driving
76621a53-d00c-4efd-83f2-d7d499b7c8b0,言语记忆,1,DRM Paradigm,DRM,drm
3b68c304-efbe-431c-8f87-38611b593b80,一心二用,1,Dual Task Paradigm,DualTask,dualtask
1813dfbd-f61e-47f5-aec6-721cde20f838,方向临摹,1,Judgment of Line Orientation,JLO,jlo
8952c324-3faa-49bf-a763-9f5b20996e40,宇宙黑洞,1,Location Memory,LocMem,locmem
de124965-f280-4177-a747-20fe4aba79fa,宇宙黑洞A,1,Location Memory A,LocMemA,locmem
